destination_continent,destination_name,origin_name,population,destination_lat,destination_lon,origin_lat,origin_lon
Africa,United Republic of Tanzania,The Democratic Republic of the Congo,"58,250",-6,35,0,25
Africa,United Republic of Tanzania,Germany,967,-6,35,51.5,10.5
Africa,United Republic of Tanzania,India,"8,010",-6,35,20,77
Africa,United Republic of Tanzania,Italy,575,-6,35,42.833333,12.833333
Africa,United Republic of Tanzania,Kenya,"27,247",-6,35,1,38
Africa,United Republic of Tanzania,Lesotho,149,-6,35,-29.5,28.25
Africa,United Republic of Tanzania,Malawi,"6,907",-6,35,-13.5,34
Africa,United Republic of Tanzania,Mauritius,192,-6,35,-20.3,57.583333
Africa,United Republic of Tanzania,Mozambique,"14,651",-6,35,-18.25,35
Africa,United Republic of Tanzania,Namibia,644,-6,35,-22,17
Africa,United Republic of Tanzania,Pakistan,668,-6,35,30,70
Africa,United Republic of Tanzania,Rwanda,581,-6,35,-2,30
Africa,United Republic of Tanzania,Seychelles,374,-6,35,-4.583333,55.666667
Africa,United Republic of Tanzania,Somalia,"2,967",-6,35,6,48
Africa,United Republic of Tanzania,South Africa,712,-6,35,-30,26
Africa,United Republic of Tanzania,Swaziland,88,-6,35,-26.5,31.5
Africa,United Republic of Tanzania,Uganda,"4,857",-6,35,2,33
Africa,United Republic of Tanzania,United Kingdom,"1,061",-6,35,54,-4
Africa,United Republic of Tanzania,United States,"1,291",-6,35,39.828175,-98.5795
Africa,United Republic of Tanzania,Zambia,"8,573",-6,35,-15,30
Africa,United Republic of Tanzania,Zimbabwe,852,-6,35,-19,29
Africa,Zambia,Angola,"17,464",-15,30,-12.5,18.5
Africa,Zambia,Australia,470,-15,30,-25,135
Africa,Zambia,Botswana,"2,639",-15,30,-22,24
Africa,Zambia,Burundi,"3,014",-15,30,-3.5,30
Africa,Zambia,Canada,892,-15,30,60,-96
Africa,Zambia,Cape Verde,225,-15,30,16,-24
Africa,Zambia,China,"2,480",-15,30,35,105
Africa,Zambia,Cook Islands,"9,562",-15,30,-16.083333,-161.583333
Africa,Zambia,The Democratic Republic of the Congo,"13,409",-15,30,0,25
Africa,Zambia,Egypt,230,-15,30,27,30
Africa,Zambia,France,78,-15,30,46,2
Africa,Zambia,Germany,371,-15,30,51.5,10.5
Africa,Zambia,Ghana,179,-15,30,8,-2
Africa,Zambia,India,"5,349",-15,30,20,77
Africa,Zambia,Japan,88,-15,30,36,138
Africa,Zambia,Kenya,785,-15,30,1,38
Africa,Zambia,Malawi,"11,258",-15,30,-13.5,34
Africa,Zambia,Mali,229,-15,30,17,-4
Africa,Zambia,Mozambique,"2,010",-15,30,-18.25,35
Africa,Zambia,Namibia,"1,566",-15,30,-22,17
Africa,Zambia,Nigeria,963,-15,30,10,8
Africa,Zambia,Rwanda,"3,438",-15,30,-2,30
Africa,Zambia,Senegal,131,-15,30,14,-14
Africa,Zambia,South Africa,"3,341",-15,30,-30,26
Africa,Zambia,Uganda,382,-15,30,2,33
Africa,Zambia,United Kingdom,"1,432",-15,30,54,-4
Africa,Zambia,United Republic of Tanzania,"4,493",-15,30,-6,35
Africa,Zambia,United States,"1,360",-15,30,39.828175,-98.5795
Africa,Zambia,Zimbabwe,"19,503",-15,30,-19,29
Africa,Zimbabwe,Botswana,"3,286",-19,29,-22,24
Africa,Zimbabwe,Malawi,"102,849",-19,29,-13.5,34
Africa,Zimbabwe,Mozambique,"94,382",-19,29,-18.25,35
Africa,Zimbabwe,South Africa,"18,610",-19,29,-30,26
Africa,Zimbabwe,United Kingdom,"7,560",-19,29,54,-4
Africa,Zimbabwe,Zambia,"30,662",-19,29,-15,30
Africa,Angola,Cambodia,"10,459",-12.5,18.5,13,105
Africa,Angola,Chad,36,-12.5,18.5,15,19
Africa,Angola,Cook Islands,"1,203",-12.5,18.5,-16.083333,-161.583333
Africa,Angola,Croatia,46,-12.5,18.5,45.166667,15.5
Africa,Angola,The Democratic Republic of the Congo,"43,192",-12.5,18.5,0,25
Africa,Angola,Guinea,382,-12.5,18.5,11,-10
Africa,Angola,Mozambique,283,-12.5,18.5,-18.25,35
Africa,Angola,Namibia,"1,012",-12.5,18.5,-22,17
Africa,Angola,Portugal,"15,528",-12.5,18.5,39.5,-8
Africa,Angola,Rwanda,"1,216",-12.5,18.5,-2,30
Africa,Angola,Sao Tome and Principe,"9,123",-12.5,18.5,1,7
